angle    w.speed (m/s)  frequency
 90.4000     10.5000      0.0009
 90.9000      8.4600      0.0009
 91.3000     10.2300      0.0013
 91.4000      6.4300      0.0011
 91.4000     10.2000      0.0010
 91.5000     10.3200      0.0008
 91.6000      1.4200      0.0005
 91.6000     10.1000      0.0010
 91.6000      6.4600      0.0002
 91.7000      7.2400      0.0006
 91.9000     12.2600      0.0011
 92.0000      8.7700      0.0006
 92.1000      7.1900      0.0007
 92.5000      1.6800      0.0005
 92.5000      4.2400      0.0001
 92.5000      9.8900      0.0009
 92.6000      5.6400      0.0005
 92.8000      2.0500      0.0006
 92.8000      2.0200      0.0002
 92.8000      5.7100      0.0006
 92.9000     10.9300      0.0016
 92.9000     11.6700      0.0003
 93.0000      8.3200      0.0007
 93.2000      8.7300      0.0007
 93.2000      2.4600      0.0003
 93.2000      2.6000      0.0005
 93.5000      1.5200      0.0003
 93.6000      8.7600      0.0007
 93.7000      7.8800      0.0011
 93.8000     13.6000      0.0006
 93.9000     10.2300      0.0013
 94.1000      7.4600      0.0005
 94.4000      8.8000      0.0003
 95.2000     14.4200      0.0006
 95.2000      8.3800      0.0010
 95.3000      7.0300      0.0010
 95.4000      9.4300      0.0007
 96.3000     14.5800      0.0005
 96.6000      7.8500      0.0009
 96.7000      7.0000      0.0008
 96.9000      6.1200      0.0008
 96.9000      8.3900      0.0008
 97.0000     10.7300      0.0007
 97.1000      3.8400      0.0003
 97.8000     10.8800      0.0011
 97.9000      9.4400      0.0009
 98.0000      7.8900      0.0008
 98.2000      5.6500      0.0005
 98.3000     10.6000      0.0014
 98.4000      9.5300      0.0015
 98.5000     10.2800      0.0009
 98.5000      3.9800      0.0005
 98.7000      9.0100      0.0005
 99.0000      9.1000      0.0011
 99.1000      8.7600      0.0007
 99.2000     10.4700      0.0013
 99.5000     13.5400      0.0011
 99.6000      4.2200      0.0007
 99.7000      8.8700      0.0008
 99.8000      9.1500      0.0009
100.1000      8.1700      0.0014
100.2000      7.8700      0.0014
100.3000     10.4400      0.0007
100.3000     15.7700      0.0007
100.6000     13.9400      0.0006
100.7000     13.6500      0.0005
100.8000      9.9900      0.0008
100.9000     10.1800      0.0014
100.9000     12.7300      0.0007
101.0000      3.4000      0.0003
101.0000      2.0000      0.0008
101.1000      8.8800      0.0011
101.1000      7.9700      0.0008
101.3000      6.0000      0.0001
101.6000      5.5300      0.0007
101.7000     12.7600      0.0003
101.7000      8.7300      0.0007
101.7000     10.7400      0.0007
101.8000     11.1700      0.0008
102.0000     11.9400      0.0005
102.0000      5.9600      0.0006
102.2000      4.0400      0.0007
102.3000      3.4200      0.0006
102.3000      4.0000      0.0005
102.4000     11.8200      0.0002
102.5000      3.8500      0.0006
102.6000      7.7700      0.0010
102.7000      7.7200      0.0008
102.7000     12.8400      0.0007
102.8000      8.3800      0.0010
102.9000      4.8100      0.0006
102.9000     12.3800      0.0007
103.0000     13.5600      0.0010
103.0000      2.1700      0.0002
103.2000      6.5700      0.0007
103.2000      8.9300      0.0007
103.3000      9.8900      0.0009
103.4000      9.4500      0.0008
103.6000      3.0500      0.0005
103.6000     12.5900      0.0001
103.7000     14.0600      0.0014
103.8000     11.1300      0.0007
104.1000      8.1700      0.0014
104.3000      8.4700      0.0017
104.4000     12.3100      0.0007
104.4000     12.8500      0.0003
104.5000     10.5800      0.0015
104.8000      3.4800      0.0005
105.0000     12.0600      0.0006
105.3000      5.5900      0.0005
105.4000      5.2600      0.0010
105.5000      8.4900      0.0005
105.5000      3.7600      0.0007
105.6000     11.0400      0.0009
105.6000      7.6300      0.0008
105.8000      5.6600      0.0008
105.9000      8.9400      0.0009
106.0000     11.7700      0.0008
106.0000      4.8200      0.0007
106.0000      9.8300      0.0005
106.1000      2.8300      0.0007
106.4000      9.9700      0.0010
106.5000     11.3500      0.0011
106.6000      8.5100      0.0009
106.6000      4.3000      0.0001
106.6000     10.6400      0.0002
106.7000     12.2300      0.0010
106.8000      9.8600      0.0009
106.8000     11.1700      0.0008
106.9000     12.0800      0.0009
106.9000     13.2800      0.0009
107.0000      2.5000      0.0011
107.1000      5.7200      0.0007
107.2000      7.7100      0.0008
107.3000      9.6800      0.0002
107.3000      1.5400      0.0003
107.4000      9.9400      0.0009
107.7000      4.3900      0.0006
107.7000     10.6900      0.0010
107.7000     11.7700      0.0008
107.8000      5.1700      0.0003
107.8000      4.1000      0.0009
107.9000     10.3700      0.0010
107.9000     15.3000      0.0007
107.9000      2.9000      0.0003
107.9000      1.2800      0.0002
108.0000      9.5600      0.0005
108.2000      4.9200      0.0007
108.3000     11.3000      0.0008
108.4000     19.6800      0.0003
108.7000      7.8800      0.0011
108.7000      8.5700      0.0009
108.8000     13.7600      0.0009
108.9000      5.0900      0.0011
109.0000     10.6900      0.0010
109.3000     11.9800      0.0005
109.3000      8.0700      0.0005
109.4000      6.4900      0.0005
109.4000     18.8100      0.0002
109.4000      5.1400      0.0001
109.6000      3.9000      0.0006
109.6000     15.5000      0.0003
109.7000     11.0100      0.0010
109.9000     10.0100      0.0010
109.9000      4.4600      0.0007
109.9000      4.3400      0.0003
109.9000     15.4800      0.0007
110.1000     12.9300      0.0006
110.1000      5.8600      0.0003
110.1000     19.8000      0.0001
110.1000      1.2100      0.0002
110.2000     11.3600      0.0013
110.4000      4.3400      0.0003
110.4000     13.8000      0.0007
110.5000      7.4300      0.0007
110.7000      7.2900      0.0005
110.7000     14.1800      0.0007
110.8000     11.1300      0.0007
110.9000      6.3400      0.0009
110.9000     18.3700      0.0003
110.9000     21.0700      0.0003
111.0000     19.3200      0.0003
111.0000     10.7000      0.0009
111.1000      3.8100      0.0006
111.1000     20.3500      0.0003
111.1000      8.7500      0.0009
111.3000     20.0200      0.0005
111.3000     22.2400      0.0001
111.5000      5.5500      0.0006
111.5000     12.2800      0.0009
111.6000     13.5300      0.0005
111.7000     11.4000      0.0005
111.7000      8.1200      0.0009
111.7000      1.5500      0.0003
111.8000     19.2000      0.0003
111.9000     14.9500      0.0005
111.9000      8.1200      0.0009
112.0000      2.1500      0.0002
112.1000      9.5900      0.0009
112.1000     19.1900      0.0005
112.1000     20.0100      0.0006
112.2000     12.8700      0.0008
112.4000     14.0600      0.0014
112.4000     19.3200      0.0003
112.4000      4.1900      0.0006
112.5000     11.3900      0.0011
112.5000     15.5900      0.0002
112.6000     12.9500      0.0005
112.6000     18.5300      0.0003
112.6000     15.3200      0.0006
112.7000     13.0300      0.0007
112.8000      5.2700      0.0007
112.8000     19.0600      0.0002
112.8000     12.5400      0.0006
113.0000     19.3400      0.0002
113.0000      8.8400      0.0005
113.1000     10.8100      0.0010
113.1000     13.2600      0.0011
113.2000      3.8800      0.0003
113.2000     22.5400      0.0003
113.3000      5.1600      0.0007
113.4000      2.7100      0.0003
113.4000     19.3200      0.0003
113.4000     14.4100      0.0005
113.6000     12.8800      0.0005
113.6000     18.7900      0.0002
113.6000     14.8200      0.0011
113.7000      7.6000      0.0005
113.8000      6.1600      0.0005
113.8000     18.9400      0.0006
113.8000     14.2600      0.0010
113.9000     15.3000      0.0007
113.9000     14.1500      0.0007
113.9000     14.9200      0.0003
113.9000      1.3200      0.0002
114.0000      7.1500      0.0001
114.0000     15.3200      0.0006
114.0000     11.9500      0.0010
114.1000     10.3700      0.0010
114.2000     12.4500      0.0009
114.2000     18.9400      0.0006
114.2000     10.1200      0.0013
114.2000     18.9900      0.0002
114.2000      6.5000      0.0007
114.3000     12.1900      0.0013
114.3000     18.8900      0.0002
114.4000     18.5500      0.0005
114.4000      5.9500      0.0005
114.5000     13.1300      0.0008
114.6000     19.4300      0.0006
114.8000      8.7200      0.0008
114.9000     15.3100      0.0008
114.9000     14.1400      0.0007
115.3000      9.0800      0.0005
115.3000     16.9200      0.0005
115.3000      2.7200      0.0005
115.4000     14.0200      0.0008
115.5000     18.8600      0.0003
115.5000      7.7200      0.0008
115.5000     16.6000      0.0003
115.7000     13.2300      0.0007
115.8000     12.2300      0.0010
115.8000      5.4100      0.0003
115.9000     16.5700      0.0008
116.0000     13.0500      0.0013
116.2000      9.2800      0.0005
116.2000     15.3400      0.0006
116.2000      6.1500      0.0008
116.3000      4.7100      0.0007
116.4000      2.7100      0.0003
116.7000      3.5900      0.0009
116.7000     11.6200      0.0011
116.7000     19.3700      0.0002
117.0000      7.6300      0.0008
117.0000     15.4700      0.0005
117.0000     12.6300      0.0010
117.0000      7.7500      0.0010
117.0000     15.9900      0.0006
117.1000      3.9300      0.0003
117.1000      1.6000      0.0001
117.1000     12.6500      0.0003
117.1000     13.8700      0.0010
117.2000     15.4600      0.0002
117.2000     19.1200      0.0001
117.2000     14.6900      0.0007
117.3000     14.8800      0.0002
117.3000      4.8100      0.0006
117.4000     10.6700      0.0002
117.4000      1.5300      0.0005
117.4000     22.4800      0.0001
117.5000      1.8900      0.0002
117.5000     15.8400      0.0006
117.6000      9.4500      0.0008
117.6000     12.8700      0.0008
117.7000     11.1100      0.0006
117.7000      6.0600      0.0005
117.7000     15.3600      0.0010
117.7000      8.1000      0.0016
117.8000      4.3600      0.0003
117.8000      7.8000      0.0010
117.8000      6.2500      0.0009
117.8000      7.9900      0.0010
117.8000     16.2500      0.0006
117.9000     19.1500      0.0002
117.9000      5.1300      0.0003
117.9000     14.0400      0.0010
118.1000     14.1400      0.0007
118.2000     15.8700      0.0006
118.2000     20.4000      0.0002
118.2000     13.7200      0.0003
118.3000     14.3600      0.0005
118.3000      5.2600      0.0010
118.6000      9.9200      0.0007
118.6000      5.9300      0.0007
118.6000      6.4400      0.0003
118.6000     16.5600      0.0008
118.8000      8.3500      0.0006
