angle	ws (m/s)	Freq
204	19	0.000112182
204	20	7.08141E-05
204	21	4.25119E-05
204	22	2.42459E-05
204	23	1.3123E-05
204	24	6.73306E-06
204	25	3.27113E-06
207	4	0.0003547
207	5	0.000489053
207	6	0.000618442
207	7	0.000730703
207	8	0.000814939
207	9	0.000863009
207	10	0.000870774
207	11	0.000838759
207	12	0.000772034
207	13	0.000679283
207	14	0.000571266
207	15	0.000459013
207	16	0.000352159
207	17	0.000257774
207	18	0.000179861
207	19	0.000119509
207	20	7.55396E-05
207	21	4.53711E-05
207	22	2.58655E-05
207	23	1.39795E-05
207	24	7.15455E-06
207	25	3.46313E-06
210	4	0.000350802
210	5	0.000485827
210	6	0.00061686
210	7	0.000731637
210	8	0.000819009
210	9	0.000870455
210	10	0.000881388
210	11	0.000851905
210	12	0.000786751
210	13	0.000694455
210	14	0.000585811
210	15	0.000472051
210	16	0.000363121
210	17	0.000266433
210	18	0.000186291
210	19	0.000123997
210	20	7.84833E-05
210	21	4.71831E-05
210	22	2.69109E-05
210	23	1.45437E-05
210	24	7.43864E-06
210	25	3.5962E-06
213	4	0.000348419
213	5	0.000482883
213	6	0.00061357
213	7	0.000728288
213	8	0.000815911
213	9	0.000867901
213	10	0.000879603
213	11	0.000851009
213	12	0.000786744
213	13	0.000695221
213	14	0.000587151
213	15	0.000473723
213	16	0.000364889
213	17	0.000268103
213	18	0.000187732
213	19	0.000125147
213	20	7.93369E-05
213	21	4.77751E-05
213	22	2.72952E-05
213	23	1.47775E-05
213	24	7.57201E-06
213	25	3.66755E-06
216	4	0.000347403
216	5	0.000480265
216	6	0.000608911
216	7	0.000721349
216	8	0.000806724
216	9	0.000856785
216	10	0.000867139
216	11	0.000837961
216	12	0.000773936
216	13	0.000683411
216	14	0.000576915
216	15	0.000465391
216	16	0.000358532
216	17	0.000263571
216	18	0.000184728
216	19	0.00012331
216	20	7.83135E-05
216	21	4.72673E-05
216	22	2.70815E-05
216	23	1.47116E-05
216	24	7.56844E-06
216	25	3.68284E-06
219	4	0.000347366
219	5	0.000477757
219	6	0.000602989
219	7	0.000711393
219	8	0.000792574
219	9	0.000838816
219	10	0.000846236
219	11	0.0008154
219	12	0.000751182
219	13	0.000661884
219	14	0.000557775
219	15	0.000449388
219	16	0.000345955
219	17	0.000254294
219	18	0.00017832
219	19	0.000119181
219	20	7.58439E-05
219	21	4.59077E-05
219	22	2.64016E-05
219	23	1.44103E-05
219	24	7.45627E-06
219	25	3.65325E-06
222	4	0.00034786
222	5	0.000475041
222	6	0.000595782
222	7	0.000698845
222	8	0.000774448
222	9	0.000815585
222	10	0.000819054
222	11	0.000785935
222	12	0.00072136
222	13	0.000633574
222	14	0.000532509
222	15	0.000428169
222	16	0.000329188
222	17	0.000241839
222	18	0.000169641
222	19	0.000113522
222	20	7.24068E-05
222	21	4.39751E-05
222	22	2.54055E-05
222	23	1.39476E-05
222	24	7.26881E-06
222	25	3.59222E-06
225	4	0.000348471
225	5	0.000471852
225	6	0.000587336
225	7	0.000684205
225	8	0.000753404
225	9	0.000788743
225	10	0.000787787
225	11	0.000752185
225	12	0.000687325
225	13	0.000601363
225	14	0.000503829
225	15	0.000404119
225	16	0.000310194
225	17	0.000227722
225	18	0.000159782
225	19	0.000107071
225	20	6.84661E-05
225	21	4.17409E-05
225	22	2.42402E-05
225	23	1.33967E-05
225	24	7.03932E-06
225	25	3.51335E-06
228	4	0.000348898
228	5	0.000468094
228	6	0.000577903
228	7	0.000668199
228	8	0.000730712
228	9	0.000760108
228	10	0.000754729
228	11	0.000716776
228	12	0.000651858
228	13	0.000567993
228	14	0.000474264
228	15	0.000379426
228	16	0.000290749
228	17	0.000213297
228	18	0.000149716
228	19	0.00010048
228	20	6.4432E-05
228	21	3.94455E-05
228	22	2.30365E-05
228	23	1.28233E-05
228	24	6.7979E-06
228	25	3.42903E-06
231	4	0.000349016
231	5	0.000463919
231	6	0.000568039
231	7	0.000651868
231	8	0.000707923
231	9	0.000731703
231	10	0.000722273
231	11	0.000682322
231	12	0.000617618
231	13	0.000535998
231	14	0.000446085
231	15	0.000356008
231	16	0.000272384
231	17	0.000199715
231	18	0.000140258
231	19	9.4294E-05
231	20	6.06458E-05
231	21	3.72892E-05
231	22	2.19039E-05
231	23	1.22828E-05
231	24	6.57026E-06
231	25	3.35E-06
234	4	0.000348923
234	5	0.000459772
234	6	0.000558627
234	7	0.000636578
234	8	0.000686869
234	9	0.000705741
234	10	0.000692886
234	11	0.000651384
234	12	0.000587102
234	13	0.000507675
234	14	0.000421289
234	15	0.00033551
234	16	0.000256381
234	17	0.000187924
234	18	0.000132072
234	19	8.89527E-05
234	20	5.73831E-05
234	21	3.54346E-05
234	22	2.09322E-05
234	23	1.18213E-05
234	24	6.37807E-06
234	25	3.28541E-06
237	4	0.000348931
237	5	0.000456372
237	6	0.000550853
237	7	0.000623979
237	8	0.000669603
237	9	0.000684569
237	10	0.00066906
237	11	0.000626449
237	12	0.000562648
237	13	0.000485104
237	14	0.000401634
237	15	0.000319342
237	16	0.000243818
237	17	0.000178709
237	18	0.000125704
237	19	8.48166E-05
237	20	5.48701E-05
237	21	3.40159E-05
237	22	2.01966E-05
237	23	1.14781E-05
237	24	6.24022E-06
237	25	3.24339E-06
240	4	0.000349515
240	5	0.000454632
240	6	0.000546099
240	7	0.000615895
240	8	0.000658304
240	9	0.000670591
240	10	0.000653277
240	11	0.000609925
240	12	0.000546469
240	13	0.000470215
240	14	0.000388721
240	15	0.000308774
240	16	0.000235656
240	17	0.000172766
240	18	0.000121633
240	19	8.22036E-05
240	20	5.33073E-05
240	21	3.31536E-05
240	22	1.97653E-05
240	23	1.12894E-05
240	24	6.17444E-06
240	25	3.23174E-06
243	4	0.000351139
243	5	0.000455363
243	6	0.000545531
243	7	0.000613802
243	8	0.000654679
243	9	0.00066564
243	10	0.000647378
243	11	0.00060356
243	12	0.000540139
243	13	0.000464358
243	14	0.000383655
243	15	0.000304672
243	16	0.000232547
243	17	0.000170568
